Accuracy;0.8;;Accuracy;0.8;;Accuracy;0.85;;Accuracy;0.87;;Accuracy;0.88;;Accuracy;0.88;;Accuracy;0.87;;Accuracy;0.87;;Accuracy;0.87;;Accuracy;0.86
Precision Usa;0.88;;Precision Usa;0.88;;Precision Usa;0.95;;Precision Usa;0.97;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.99;;Precision Usa;0.99
Precision Japan;0.41;;Precision Japan;0.41;;Precision Japan;0.41;;Precision Japan;0.43;;Precision Japan;0.44;;Precision Japan;0.42;;Precision Japan;0.41;;Precision Japan;0.4;;Precision Japan;0.34;;Precision Japan;0.28
Precision West-germany;0.57;;Precision West-germany;0.57;;Precision West-germany;0.58;;Precision West-germany;0.58;;Precision West-germany;0.58;;Precision West-germany;0.59;;Precision West-germany;0.57;;Precision West-germany;0.48;;Precision West-germany;0.45;;Precision West-germany;0.37
Precision Canada;0.38;;Precision Canada;0.38;;Precision Canada;0.36;;Precision Canada;0.35;;Precision Canada;0.35;;Precision Canada;0.35;;Precision Canada;0.34;;Precision Canada;0.34;;Precision Canada;0.32;;Precision Canada;0.27
Precision Uk;0.56;;Precision Uk;0.56;;Precision Uk;0.56;;Precision Uk;0.58;;Precision Uk;0.56;;Precision Uk;0.54;;Precision Uk;0.51;;Precision Uk;0.5;;Precision Uk;0.48;;Precision Uk;0.41
Precision France;0.51;;Precision France;0.51;;Precision France;0.5;;Precision France;0.52;;Precision France;0.49;;Precision France;0.48;;Precision France;0.44;;Precision France;0.43;;Precision France;0.43;;Precision France;0.42
Precision;0.8;;Precision;0.8;;Precision;0.85;;Precision;0.87;;Precision;0.88;;Precision;0.87;;Precision;0.87;;Precision;0.87;;Precision;0.87;;Precision;0.86
Recall Usa;0.89;;Recall Usa;0.89;;Recall Usa;0.89;;Recall Usa;0.89;;Recall Usa;0.89;;Recall Usa;0.88;;Recall Usa;0.88;;Recall Usa;0.87;;Recall Usa;0.87;;Recall Usa;0.86
Recall Japan;0.74;;Recall Japan;0.74;;Recall Japan;0.85;;Recall Japan;0.88;;Recall Japan;0.86;;Recall Japan;0.87;;Recall Japan;0.88;;Recall Japan;0.87;;Recall Japan;0.85;;Recall Japan;0.89
