Accuracy;0.86;;Accuracy;0.86;;Accuracy;0.88;;Accuracy;0.88;;Accuracy;0.9
Precision Usa;0.99;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.98
Precision Japan;0.39;;Precision Japan;0.37;;Precision Japan;0.42;;Precision Japan;0.44;;Precision Japan;0.62
Precision West-germany;0.43;;Precision West-germany;0.53;;Precision West-germany;0.58;;Precision West-germany;0.59;;Precision West-germany;0.59
Precision Canada;0.23;;Precision Canada;0.31;;Precision Canada;0.35;;Precision Canada;0.35;;Precision Canada;0.41
Precision Uk;0.43;;Precision Uk;0.53;;Precision Uk;0.55;;Precision Uk;0.55;;Precision Uk;0.53
Precision France;0.48;;Precision France;0.49;;Precision France;0.53;;Precision France;0.5;;Precision France;0.55
Precision;0.86;;Precision;0.86;;Precision;0.87;;Precision;0.88;;Precision;0.9
Recall Usa;0.86;;Recall Usa;0.87;;Recall Usa;0.88;;Recall Usa;0.89;;Recall Usa;0.92
Recall Japan;0.8;;Recall Japan;0.84;;Recall Japan;0.87;;Recall Japan;0.84;;Recall Japan;0.9
Recall West-germany;0.78;;Recall West-germany;0.79;;Recall West-germany;0.82;;Recall West-germany;0.83;;Recall West-germany;0.81
Recall Canada;0.86;;Recall Canada;0.84;;Recall Canada;0.84;;Recall Canada;0.87;;Recall Canada;0.86
Recall Uk;0.86;;Recall Uk;0.74;;Recall Uk;0.78;;Recall Uk;0.73;;Recall Uk;0.68
Recall France;0.94;;Recall France;0.94;;Recall France;0.93;;Recall France;0.94;;Recall France;0.94
Recall;0.86;;Recall;0.86;;Recall;0.87;;Recall;0.88;;Recall;0.9
F1 Usa;0.92;;F1 Usa;0.92;;F1 Usa;0.93;;F1 Usa;0.93;;F1 Usa;0.95
F1 Japan;0.52;;F1 Japan;0.51;;F1 Japan;0.57;;F1 Japan;0.58;;F1 Japan;0.73
F1 West-germany;0.55;;F1 West-germany;0.63;;F1 West-germany;0.68;;F1 West-germany;0.69;;F1 West-germany;0.68
F1 Canada;0.36;;F1 Canada;0.45;;F1 Canada;0.49;;F1 Canada;0.5;;F1 Canada;0.56
F1 Uk;0.57;;F1 Uk;0.62;;F1 Uk;0.65;;F1 Uk;0.63;;F1 Uk;0.6
F1 France;0.64;;F1 France;0.64;;F1 France;0.68;;F1 France;0.65;;F1 France;0.69
F1;0.83;;F1;0.84;;F1;0.86;;F1;0.86;;F1;0.9
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;10;20;30;50;80
;;;;;;;;Accuracy;0.86;0.86;0.88;0.88;0.9
;;;;;;;;Precision;0.86;0.86;0.87;0.88;0.9
;;;;;;;;Recall;0.86;0.86;0.87;0.88;0.9
;;;;;;;;F1;0.83;0.84;0.86;0.86;0.9
